date,maxTemp,minTemp,pressure,humidity,visibility,dewPoint,cloudCover,windSpeed,windBearing,icon
2017-11-26 09:21:43.364410,89.62,76.85,1010.75,0.76,2.28,73.67,0.66,0.61,60,fog
2017-11-25 09:21:43.364410,91.43,76.95,1010.73,0.77,2.1,74.46,0.54,1.12,219,fog
2017-11-24 09:21:43.364410,90.53,77.01,1010.71,0.76,2.54,73.8,0.56,1.84,301,fog
2017-11-23 09:21:43.364410,90.17,75.2,1010.38,0.72,2.71,72.65,0.53,1.93,235,fog
2017-11-22 09:21:43.364410,88.73,76.45,1010.53,0.8,2.38,74.94,0.67,0.75,216,fog
2017-11-21 09:21:43.364410,90.0,75.76,1010.64,0.81,2.31,74.72,0.67,1.36,252,fog
2017-11-20 09:21:43.364410,90.53,75.2,1010.63,0.81,2.49,74.6,0.69,2.27,236,fog
2017-11-19 09:21:43.364410,90.53,75.86,1010.61,0.8,2.4,74.37,0.62,0.89,269,fog
2017-11-18 09:21:43.364410,90.53,77.06,1010.59,0.77,2.18,74.72,0.55,1.16,225,fog
2017-11-17 09:21:43.364410,89.62,77.82,1010.58,0.76,2.3,73.98,0.48,2.19,272,fog
2017-11-16 09:21:43.364410,88.73,77.01,1010.56,0.76,2.55,72.51,0.55,2.27,252,fog
2017-11-15 09:21:43.364410,89.62,73.85,1010.54,0.76,2.69,72.66,0.56,2.35,275,fog
